Nom_Etablissement,Telephone,Email,Localisation,Classement,Statut_Appel,Commentaire_Terrain,Site_Web
Sure Hotel by Best Western,09 13 29 23 17,durant.denise@gmail.com,39100#Dole,Clef Verte#Clef verte|3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.bestwestern.fr/fr/hotel-Dole-Sure-Hotel-by-Best-Western-Dole-93969?fbclid=IwAR2Ipi8tZbhm9CkN1dqNCcCsks7iJlTKKc1JbJ5BpDP5TQXoRFdxvv0IRCM
Gite chez Mylene et Bertrand,09 17 42 11 23,,71220#Saint-André-le-Désert,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,https://www.chez-mylene-et-bertrand.fr
Les Géraniums du 95 B,04 68 86 00 91,,25300#Pontarlier,Accueil Vélo#France Vélo Tourisme|3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Juste une Pause,01 13 89 51 69,,62830#Carly,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
La Villa Dakoté,03 86 62 92 36,,71530#Sassenay,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
L'âme du voyageur,06 09 67 84 75,,86370#Château-Larcher,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,
Gîte à Laissey,07 41 54 47 58,,25820#Laissey,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,
Gîte Le Petit Bambou,03 46 37 17 39,gite.lepetitbambou@gmail.com,79300#Bressuire,4 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.lepetitbambou.fr
Le Gîte de Varanges,09 21 21 96 30,,71640#Givry,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,https://www.gites.fr/gites_le-gite-de-varanges_givry_92965.htm
Gîte Les Cyprès de la Petite Toscane,05 60 01 92 34,contact@toscanemauriac.fr,33540#Mauriac,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://gites-la-petite-toscane-mauriac.fr
Hôtel Villa Louise,01 76 58 13 89,contact@hotel-villa-louise.fr,21420#Aloxe-Corton,4 étoiles#Classement officiel des hébergements touristiques|Vignobles & Découvertes#Label Vignobles & Découvertes,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,http://www.hotel-villa-louise.fr
La Grange d'Autrefois,07 06 04 70 22,,71620#Damerey,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.leboncoin.fr/offre/locations_gites/2224573905
"Gîte n°267 ""LES LILAS""",03 24 54 73 53,paquaypatou@orange.fr,08150#Remilly-les-Pothées,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France|3 épis / Confort#Gîtes de France,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,http://webitea-08-gdf-francais.gl.itea.fr/resa/etape1.php?NUM=267&INSTANCE=gites08&OPE=CDT08&ORI=CDT08&&&&&
Camping Manoir de Bezolle,03 05 21 07 28,contact@campingmanoirdebezolle.com,58110#Saint-Péreuse,4 étoiles#Classement officiel des hébergements touristiques,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,https://www.campingmanoirdebezolle.com
Au détour du Pigeonnier,07 81 52 82 54,,86200#Loudun,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,
Carp Cottage,03 65 51 24 20,,47500#Monsempron-Libos,3 étoiles#Classement officiel des hébergements touristiques|Hébergement Pêche#Hébergement Pêche,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Gîte Saint Brice,01 30 04 71 28,,33540#Saint-Brice,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Maison de campagne à Ancerviller,04 37 73 67 91,,54450#Ancerviller,3 étoiles#Classement officiel des hébergements touristiques|3 Clés#Clévacances,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Le Repaire Creusois,07 28 50 42 14,,23700#Charron,Gîtes de France#Gîtes de France|4 épis / Premium#Gîtes de France,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Les Crinières Flamboyantes,05 50 48 90 46,,86160#Marnay,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
"Ici, au gré du temps",06 79 40 30 55,lerougelenoir@hotmail.fr,21120#Is-sur-Tille,3 étoiles#Classement officiel des hébergements touristiques,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,
Gîte Les Mésanges n°150,06 34 20 20 99,,08170#Haybes,Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Gîte Le Pavillon,06 75 72 38 97,,47600#Moncrabeau,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
La K'ase du Baudet,03 97 33 01 16,,86550#Mignaloux-Beauvoir,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Logis Hotel le Grill,05 18 59 02 52,hotelgrill@hotelgrill.fr,39000#Lons-le-Saunier,Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques|Hôtel Essentiel#Logis,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://www.hotel-grill.com
Les Clefs du Paradis,02 43 71 04 04,,51290#Arzillières-Neuville,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Easy Ride Der,06 16 27 89 42,,51290#Giffaumont-Champaubert,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,http://www.easyrideder.com
Campanile,07 78 92 89 63,dpo@groupedulouvre.com,39100#Dole,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,http://www.campanile-dole.fr/fr
Chambres d’hôtes - Les Grands Prés,06 83 06 75 95,,25250#Geney,4 épis / Premium#Gîtes de France|Gîtes de France#Gîtes de France,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.lesgrandspres-geney.fr
Petit Vouas,06 02 35 51 13,info@lesvouas.nl,58120#Corancy,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://lesvouas.nl
Camping - Les Bords de Loue,06 25 24 25 73,contact@jura-camping.fr,39100#Parcey,Accueil Vélo#France Vélo Tourisme|3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,http://www.jura-camping.fr
Le Grenier aux Écureuils,05 29 37 84 30,,10410#Saint-Parres-aux-Tertres,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Gîte des Peupliers,04 49 87 13 93,gitedespeupliers79@gmail.com,79440#Courlay,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://poitou-charentes-mb-prestataire.for-system.com/f134647_fr-.aspx
La Maison de Fram,05 98 80 64 77,,02380#Coucy-le-Château-Auffrique,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,
Chalet la Luge,03 29 35 33 38,,88310#Cornimont,3 étoiles#Classement officiel des hébergements touristiques|3 épis / Confort#Gîtes de France,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,
Hôtel Le Fer à Cheval,01 09 09 72 24,info@hotel-trouville.com,14360#Trouville-sur-Mer,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,http://www.feracheval-trouville.com
Kyriad Troyes Centre,06 04 84 34 46,dpo@groupedulouvre.com,10000#Troyes,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://troyes-centre.kyriad.com/fr-fr
Auprès du Verger,05 74 78 77 89,jacqueline.poulet@aliceadsl.fr,25580#Échevannes,4 étoiles#Classement officiel des hébergements touristiques,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,https://www.aupresduverger.fr
Beaux jours en Baie de Somme,06 26 98 44 67,,80860#Nouvion,3 épis / Confort#Gîtes de France|Gîtes de France#Gîtes de France,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.lesbeauxjours-en-baie.fr
Gamers Nest,07 50 28 71 05,,86370#Vivonne,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://gamersnest.gg
Poplar House,04 48 26 78 41,,79290#Loretz-d'Argenton,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.le-ruault.co.uk/pages20/home20FR.html?menuID=home
Gîte Les Rosiers de la Petite Toscane,09 28 16 42 28,contact@toscanemauriac.fr,33540#Mauriac,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://gites-la-petite-toscane-mauriac.fr
Les Trois Charmes,05 35 10 92 16,contact@lestroischarmes.fr,25170#Chaucenne,3 épis / Confort#Gîtes de France|Gîtes de France#Gîtes de France|Accueil motards#Accueil motards,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.lestroischarmes.fr
Gîte Petit Talma,06 69 29 86 12,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,08250#Grandpré,4 étoiles#Classement officiel des hébergements touristiques|4 Clés#Clévacances,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://www.gite-petit-talma-ardennes.com
La Symphorienne,03 66 23 91 74,,58150#Suilly-la-Tour,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,
Domaine de la Vergnolle,02 14 07 90 36,,87290#Rancon,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
AU FIL DE L'EAU,06 36 74 03 13,,23800#La Celle-Dunoise,3 étoiles#Classement officiel des hébergements touristiques|Hébergement Pêche#Hébergement Pêche|Clé Vacances#Clé vacances|3 Clés#Clévacances,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://gite-au-fil-de-l-eau.fr
Hôtel du Morvan,05 21 23 99 72,reservation@hotelrestaurantdumorvan.fr,58170#Luzy,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.hotelrestaurantdumorvan58.fr
St Colomban - T2,06 85 75 85 60,,70300#Luxeuil-les-Bains,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
La Chaume en Loire,05 95 49 89 50,lachaumeenloire@gmail.com,58300#Devay,Accueil Vélo#France Vélo Tourisme|3 épis / Confort#Gîtes de France|Gîtes de France#Gîtes de France,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,http://www.lachaume-enloire.com
Le Gîte du Louvanto,09 10 02 33 60,lelouvanto@gmail.com,86300#Bonnes,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://lelouvanto.com
Gîte du Mamelé,09 25 68 84 76,,67130#Barembach,3 étoiles#Classement officiel des hébergements touristiques|3 épis / Confort#Gîtes de France,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Gîte Tilleul,01 48 12 63 52,lesgitessurlacolline@gmail.com,47800#Montignac-de-Lauzun,3 étoiles#Classement officiel des hébergements touristiques|Clé Vacances#Clé vacances|3 Clés#Clévacances,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.lesgitessurlacolline.fr
Le Vauluisant,06 25 45 12 47,,10000#Troyes,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,
Gîte les figuiers,09 71 46 52 15,gitelesfiguiers40@gmail.com,40400#Audon,5 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://gitelesfiguiers.com
Le gîte Le Domaine de Montmery,01 80 08 80 60,,87240#Ambazac,4 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,
Le Studio Bernard,05 51 68 12 03,,86000#Poitiers,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,
Gite de la Quinquenouille,09 53 80 02 29,,39240#Valzin en Petite Montagne,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Chez Jennifer et Van,07 81 33 84 05,,10000#Troyes,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Métairie Le Coutureau,07 39 22 48 56,,24240#Rouffignac-de-Sigoulès,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,https://air.tl/ZtOlyQ3x
